"contracted","count_contr","elliptical_rate","origin","len.text"
"[""haven't"", ' corona,']",5e-04,0,"scientific",3771
"['and so on']",4e-04,0,"scientific",2825
"['and so on']",1e-04,0,"scientific",8553
"[""aren't"", ""haven't"", ""isn't"", ""isn't"", ""isn't"", ""isn't""]",0.0023,0,"scientific",2620
"['and so on']",2e-04,0,"scientific",5062
"['and so on', ""isn't""]",0,0,"scientific",85452
"['and so on', ' corona ']",4e-04,0,"scientific",4660
"['and so on']",1e-04,0,"scientific",7928
"['and so on']",1e-04,0,"scientific",12399
"[""isn't"", ' corona)']",4e-04,0,"scientific",5012
"['and so on']",2e-04,0,"scientific",5779
"[""haven't""]",2e-04,0,"scientific",4446
"['and so on']",3e-04,0,"scientific",3491
"[""haven't""]",3e-04,0,"scientific",3890
"['and so on']",1e-04,0,"scientific",6689
"[""can't""]",6e-04,0,"scientific",1723
"['and so on', ""aren't"", ""can't"", ""isn't""]",4e-04,0,"scientific",9307
"['and so on', ""hasn't"", ""won't"", ""isn't""]",0.0013,0,"scientific",3069
"['and so on']",3e-04,0,"scientific",3097
"['and so on']",3e-04,0,"scientific",3004
"[""hasn't"", ""isn't"", ' Corona ']",6e-04,0,"scientific",4895
"['And so on']",2e-04,0,"scientific",4060
"['and so on']",3e-04,0,"scientific",3223
"[""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""won't""]",4e-04,0,"scientific",16084
"[""can't""]",1e-04,0,"scientific",7624
"[""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""can't"", ""shouldn't""]",7e-04,0,"scientific",12451
"[""can't""]",0,8.20943921320735e-06,"scientific",121841
"['and so on']",1e-04,0,"scientific",8876
"['and so on', ""shouldn't"", ""isn't"", ""isn't"", ""isn't"", ' corona ', ' corona ']",0,0,"scientific",232918
"['and so on']",2e-04,0,"scientific",4298
"['and so on']",5e-04,0,"scientific",2210
"['and so on', 'and so on', 'and so on', ' Corona ']",7e-04,0,"scientific",5763
"[""won't""]",0.0012,0,"scientific",842
"[""won't""]",7e-04,0,"scientific",1514
"[""isn't""]",0.0012,0,"scientific",852
"[""can't""]",7e-04,0,"scientific",1373
"['and so on']",2e-04,0,"scientific",4235
"['and so on', '""corona""']",4e-04,0,"scientific",5605
"['and so on']",4e-04,0,"scientific",2732
"[""won't""]",2e-04,0,"scientific",5215
"['and so on', 'and so on', 'and so on', 'and so on']",0.0013,0,"scientific",3079
"['and so on', '""corona""']",4e-04,0,"scientific",4593
"['and so on']",3e-04,0,"scientific",3100
"['and so on', 'and so on']",1e-04,0,"scientific",14668
"['and so on', 'and so on']",4e-04,0,"scientific",4528
"['and so on']",3e-04,0,"scientific",3240
"['and so on', ""won't""]",6e-04,0,"scientific",3448
"[""aren't""]",3e-04,0,"scientific",2990
"[""isn't""]",1e-04,0,"scientific",8745
"['and so on']",4e-04,0,"scientific",2636
"[""isn't"", ""isn't""]",3e-04,0,"scientific",7732
"['and so on']",1e-04,0,"scientific",13559
"['and so on', 'and so on']",5e-04,0,"scientific",4335
"['and so on']",2e-04,0,"scientific",6205
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on', 'and so on']",6e-04,0,"scientific",9987
"[""isn't""]",2e-04,0,"scientific",6393
"['and so on']",1e-04,0,"scientific",7852
"[""can't"", ""won't"", ""isn't"", ""isn't""]",0.0023,0,"scientific",1769
"[""hasn't""]",2e-04,0,"scientific",6073
"['and so on', 'and so on', 'and so on']",9e-04,0,"scientific",3467
"[""can't"", ' corona ', ' corona ']",4e-04,0,"scientific",6821
"[""haven't"", ""won't""]",3e-04,0,"scientific",5825
"[""can't""]",1e-04,0,"scientific",6841
"[""can't""]",1e-04,0,"scientific",12524
"[""Can't"", ""Can't"", ""Can't"", ""Can't""]",4e-04,0,"scientific",9339
"['and so on', 'and so on']",5e-04,0,"scientific",4359
"[""isn't""]",2e-04,0,"scientific",4676
"['and so on', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ', ' corona ']",3e-04,0,"scientific",26228
"['and so on']",5e-04,0,"scientific",1984
"[""isn't""]",1e-04,0,"scientific",12804
"['and so on']",1e-04,0,"scientific",11920
"[""can't""]",4e-04,0,"scientific",2304
"['and so on']",1e-04,0,"scientific",14071
"[""won't""]",1e-04,0,"scientific",13781
"['and so on']",4e-04,0,"scientific",2648
"[""can't""]",2e-04,0,"scientific",4461
"['and so on', ""aren't""]",0.0012,0,"scientific",1649
"['and so on', 'and so on']",2e-04,0,"scientific",10490
"['and so on', ""hasn't""]",0.0012,0,"scientific",1643
"[""can't""]",5e-04,0,"scientific",1941
"['and so on']",2e-04,0,"scientific",5123
"['and so on', 'and so on']",3e-04,0,"scientific",6029
"[""can't""]",2e-04,0,"scientific",6661
"[""aren't""]",2e-04,0,"scientific",4401
"[""aren't"", ""won't""]",2e-04,0,"scientific",8017
"['and so on', 'and so on', 'and so on', 'and so on', 'and so on']",4e-04,0,"scientific",11571
"[""can't""]",3e-04,0,"scientific",3495
"[""can't""]",0,0,"scientific",20030
"['and so on', ' corona ', ' corona ', ' Corona ', ' corona ']",0,7.68114049574081e-06,"scientific",260492
"[""isn't""]",2e-04,0,"scientific",5222
"['and so on', ' Corona ', ' Corona ']",8e-04,0,"scientific",3820
"[""aren't""]",4e-04,0,"scientific",2790
"['and so on']",5e-04,0,"scientific",2182
"[""isn't""]",1e-04,0,"scientific",19826
"['China Virus']",3e-04,0,"scientific",3549
"['and so on']",5e-04,0,"scientific",2089
"[""can't""]",2e-04,0,"scientific",5073
